Date,BTC_Close,ETH_Close
2022-07-30,23643.51,1697.0
2022-07-31,23293.32,1678.12
2022-08-01,23268.01,1630.28
2022-08-02,22987.79,1630.91
2022-08-03,22818.37,1618.16
2022-08-04,22622.98,1607.96
2022-08-05,23312.42,1736.81
2022-08-06,22954.21,1690.6
2022-08-07,23174.39,1700.19
2022-08-08,23810.0,1777.05
2022-08-09,23149.95,1702.76
2022-08-10,23954.05,1853.57
2022-08-11,23934.39,1880.19
2022-08-12,24403.68,1958.28
2022-08-13,24441.38,1983.55
2022-08-14,24305.24,1935.31
2022-08-15,24094.82,1899.06
2022-08-16,23854.74,1876.67
2022-08-17,23342.66,1834.25
2022-08-18,23191.2,1846.39
2022-08-19,20834.39,1609.01
2022-08-20,21140.07,1576.04
2022-08-21,21515.61,1618.13
2022-08-22,21399.83,1624.66
2022-08-23,21529.12,1665.41
2022-08-24,21368.08,1656.56
2022-08-25,21559.04,1695.11
2022-08-26,20241.05,1508.18
2022-08-27,20037.6,1491.06
2022-08-28,19555.61,1426.76
2022-08-29,20285.73,1551.8
2022-08-30,19811.66,1524.59
2022-08-31,20050.02,1554.1
2022-09-01,20131.46,1586.16
2022-09-02,19951.86,1575.35
2022-09-03,19831.9,1557.46
2022-09-04,20000.3,1579.28
2022-09-05,19796.84,1617.8
2022-09-06,18790.61,1559.01
2022-09-07,19292.84,1630.0
2022-09-08,19319.77,1635.37
2022-09-09,21360.11,1718.23
2022-09-10,21648.34,1774.12
2022-09-11,21826.87,1766.11
2022-09-12,22395.74,1716.37
2022-09-13,20173.57,1574.4
2022-09-14,20226.71,1638.39
2022-09-15,19701.88,1472.75
2022-09-16,19803.3,1433.9
2022-09-17,20113.62,1468.83
2022-09-18,19416.18,1334.51
2022-09-19,19537.02,1375.98
2022-09-20,18875.0,1322.93
2022-09-21,18461.36,1245.78
2022-09-22,19401.63,1326.46
2022-09-23,19289.91,1327.25
2022-09-24,18920.5,1317.13
2022-09-25,18807.38,1294.63
2022-09-26,19227.82,1336.17
2022-09-27,19079.13,1328.02
2022-09-28,19412.82,1337.2
2022-09-29,19591.51,1335.7
2022-09-30,19422.61,1328.72
2022-10-01,19310.95,1311.79
2022-10-02,19056.8,1276.72
2022-10-03,19629.08,1323.09
2022-10-04,20337.82,1361.49
2022-10-05,20158.26,1352.2
2022-10-06,19960.67,1352.06
2022-10-07,19530.09,1331.1
2022-10-08,19417.96,1315.48
2022-10-09,19439.02,1323.13
2022-10-10,19131.87,1290.03
2022-10-11,19060.0,1280.11
2022-10-12,19155.53,1294.44
2022-10-13,19375.13,1287.08
2022-10-14,19176.93,1296.27
2022-10-15,19069.39,1274.92
2022-10-16,19262.98,1305.95
2022-10-17,19549.86,1331.4
2022-10-18,19327.44,1310.71
2022-10-19,19123.97,1285.09
2022-10-20,19041.92,1282.57
2022-10-21,19164.37,1299.75
2022-10-22,19204.35,1313.61
2022-10-23,19570.4,1364.2
2022-10-24,19329.72,1343.61
2022-10-25,20080.07,1459.74
2022-10-26,20771.59,1566.1
2022-10-27,20295.11,1514.05
2022-10-28,20591.84,1554.41
2022-10-29,20809.67,1619.55
2022-10-30,20627.48,1590.44
2022-10-31,20490.74,1572.69
2022-11-01,20483.62,1578.48
2022-11-02,20151.84,1518.34
2022-11-03,20207.82,1531.01
2022-11-04,21148.52,1644.78
2022-11-05,21299.37,1626.98
2022-11-06,20905.58,1568.29
2022-11-07,20591.13,1568.1
2022-11-08,18547.23,1334.77
2022-11-09,15922.81,1102.73
2022-11-10,17601.15,1299.28
2022-11-11,17070.31,1289.28
2022-11-12,16812.08,1257.25
2022-11-13,16329.85,1221.49
2022-11-14,16619.46,1243.28
2022-11-15,16900.57,1253.23
2022-11-16,16662.76,1216.17
2022-11-17,16692.56,1200.43
2022-11-18,16700.45,1212.58
2022-11-19,16700.68,1217.67
2022-11-20,16280.23,1142.21
2022-11-21,15781.29,1107.34
2022-11-22,16226.94,1139.6
2022-11-23,16603.11,1184.52
2022-11-24,16598.95,1203.73
2022-11-25,16522.14,1199.3
2022-11-26,16458.57,1205.6
2022-11-27,16428.78,1193.88
2022-11-28,16212.91,1167.77
2022-11-29,16442.53,1216.49
2022-11-30,17163.64,1294.46
2022-12-01,16977.37,1276.41
2022-12-02,17092.74,1295.59
2022-12-03,16885.2,1240.51
2022-12-04,17105.7,1279.41
2022-12-05,16966.35,1259.41
2022-12-06,17088.96,1271.32
2022-12-07,16836.64,1231.18
2022-12-08,17224.1,1280.18
2022-12-09,17128.56,1263.1
2022-12-10,17127.49,1266.35
2022-12-11,17085.05,1263.01
2022-12-12,17209.83,1275.4
2022-12-13,17774.7,1320.69
2022-12-14,17803.15,1307.44
2022-12-15,17356.34,1266.54
2022-12-16,16632.12,1166.83
2022-12-17,16776.52,1187.16
2022-12-18,16738.21,1183.06
2022-12-19,16438.88,1167.82
2022-12-20,16895.56,1216.94
2022-12-21,16824.67,1213.78
2022-12-22,16821.43,1217.71
2022-12-23,16778.5,1219.99
2022-12-24,16836.12,1220.41
2022-12-25,16832.11,1218.51
2022-12-26,16919.39,1228.11
2022-12-27,16706.36,1211.55
2022-12-28,16547.31,1190.15
2022-12-29,16633.47,1200.49
2022-12-30,16607.48,1199.99
2022-12-31,16542.4,1196.13
2023-01-01,16616.75,1200.34
2023-01-02,16672.87,1214.0
2023-01-03,16675.18,1214.55
2023-01-04,16850.36,1256.9
2023-01-05,16831.85,1251.24
2023-01-06,16950.65,1269.14
2023-01-07,16943.57,1264.07
2023-01-08,17127.83,1290.16
2023-01-09,17178.26,1320.39
2023-01-10,17440.66,1335.62
2023-01-11,17943.26,1389.39
2023-01-12,18846.62,1415.92
2023-01-13,19930.01,1451.2
2023-01-14,20954.92,1549.9
2023-01-15,20871.5,1552.52
2023-01-16,21185.65,1576.94
2023-01-17,21134.81,1565.57
2023-01-18,20677.47,1511.43
2023-01-19,21071.59,1551.09
2023-01-20,22667.21,1658.52
2023-01-21,22783.55,1626.66
2023-01-22,22707.88,1627.44
2023-01-23,22916.45,1626.29
2023-01-24,22632.89,1555.97
2023-01-25,23060.94,1611.94
2023-01-26,23009.65,1601.09
2023-01-27,23074.16,1597.62
2023-01-28,23022.6,1572.1
2023-01-29,23742.3,1644.72
2023-01-30,22826.15,1566.2
2023-01-31,23125.13,1585.33
2023-02-01,23732.66,1641.68
2023-02-02,23488.94,1643.12
2023-02-03,23431.9,1663.52
2023-02-04,23326.84,1666.38
2023-02-05,22932.91,1629.02
2023-02-06,22762.52,1614.29
2023-02-07,23240.46,1671.03
2023-02-08,22963.0,1650.43
2023-02-09,21796.35,1545.35
2023-02-10,21625.19,1513.06
2023-02-11,21862.55,1538.51
